day,race,start,event_id,event_name,event_code,seats,alpha,lane,heat,distance,school,crew,cox,coach
2,92,2021-10-24T13:52:00+00:00,64,Senior Women's Double Scull,S W 2X,2,Q,5,D1,2000,Bucks,"C.Blyth,T.Thomas",[],[]
2,93,2021-10-24T13:58:00+00:00,64,Senior Women's Double Scull,S W 2X,2,R,2,D2,2000,Bucks,"Vicars,Anderson",[],[]
2,93,2021-10-24T13:58:00+00:00,64,Senior Women's Double Scull,S W 2X,2,R,3,D2,2000,Sandy Bay,"S.Birch,A.Jackson",[],[]
2,93,2021-10-24T13:58:00+00:00,64,Senior Women's Double Scull,S W 2X,2,R,4,D2,2000,TUBC,"Blackwell,Triffett",[],[]
2,93,2021-10-24T13:58:00+00:00,64,Senior Women's Double Scull,S W 2X,2,R,5,D2,2000,Ulverstone,"A.Pratt,Z.Campbell",[],[]
2,94,2021-10-24T14:08:00+00:00,66,U17 Men's Coxed Quad Scull 1000m,U17 M 4X+ 1000,4,S,2,,1000,Sandy Bay,Nicholas Otahal,[],[]
2,94,2021-10-24T14:08:00+00:00,66,U17 Men's Coxed Quad Scull 1000m,U17 M 4X+ 1000,4,S,3,,1000,TUBC,Composite Thomas Marr,[],[]
2,95,2021-10-24T14:13:00+00:00,67,U17 Women's Double Scull 1000m,U17 W 2X 1000,2,T,2,FA,1000,TUBC,"O.Walter,M.Cocker",[],[]
2,95,2021-10-24T14:13:00+00:00,67,U17 Women's Double Scull 1000m,U17 W 2X 1000,2,T,3,FA,1000,New Norfolk,"Fenton,Coulson",[],[]
2,95,2021-10-24T14:13:00+00:00,67,U17 Women's Double Scull 1000m,U17 W 2X 1000,2,T,4,FA,1000,Kentish,"Elford,Behrmann",[],[]
2,95,2021-10-24T14:13:00+00:00,67,U17 Women's Double Scull 1000m,U17 W 2X 1000,2,T,5,FA,1000,New Norfolk,"S.Midgley,L.Midson",[],[]
2,96,2021-10-24T14:18:00+00:00,67,U17 Women's Double Scull 1000m,U17 W 2X 1000,2,U,2,FB,1000,TUBC,"Gillow,McInerney",[],[]
2,96,2021-10-24T14:18:00+00:00,67,U17 Women's Double Scull 1000m,U17 W 2X 1000,2,U,3,FB,1000,Mersey,"Phyland,Spaulding",[],[]
2,96,2021-10-24T14:18:00+00:00,67,U17 Women's Double Scull 1000m,U17 W 2X 1000,2,U,4,FB,1000,URC/KRC,"T.Jago,A.Pratt",[],[]
2,96,2021-10-24T14:18:00+00:00,67,U17 Women's Double Scull 1000m,U17 W 2X 1000,2,U,5,FB,1000,Sandy Bay,"M.Casey,A.Acuna",[],[]
2,97,2021-10-24T14:23:00+00:00,68,Masters Men's Single Scull,MM 1X,1,V,2,,1000,Sandy Bay,Peter Walker,[],[]
2,97,2021-10-24T14:23:00+00:00,68,Masters Men's Single Scull,MM 1X,1,V,3,,1000,Ulverstone,Michael Wilson,[],[]
2,97,2021-10-24T14:23:00+00:00,68,Masters Men's Single Scull,MM 1X,1,V,4,,1000,Ulverstone,Andrew Streeter,[],[]
2,97,2021-10-24T14:23:00+00:00,68,Masters Men's Single Scull,MM 1X,1,V,5,,1000,TUBC,Malcolm Middleton,[],[]
2,98,2021-10-24T14:28:00+00:00,69,Masters Women's Coxless Quad Scull,M W 4X-,4,W,1,,1000,TUBC,Susan Weeding,[],[]
2,98,2021-10-24T14:28:00+00:00,69,Masters Women's Coxless Quad Scull,M W 4X-,4,W,2,,1000,DMCRC,Michele Duffy,[],[]
2,98,2021-10-24T14:28:00+00:00,69,Masters Women's Coxless Quad Scull,M W 4X-,4,W,3,,1000,LINDF/URC,Jacqui Hope,[],[]
2,98,2021-10-24T14:28:00+00:00,69,Masters Women's Coxless Quad Scull,M W 4X-,4,W,4,,1000,Sandy Bay,Amanda Jackson,[],[]
2,98,2021-10-24T14:28:00+00:00,69,Masters Women's Coxless Quad Scull,M W 4X-,4,W,5,,1000,TUBC,Angela Palmer,[],[]
